,cevae_ite
528,-0.013403131
529,-0.014681657
530,-0.01559402
531,-0.019966204
532,-0.01843203
533,-0.01414807
534,-0.019991882
535,-0.017851243
536,-0.024553746
537,-0.016735405
538,-0.018321663
539,-0.025285633
540,-0.008153019
541,-0.012130086
542,-0.016006978
543,-0.018458769
544,-0.008406347
545,-0.016433563
546,-0.014088034
547,-0.016983267
548,-0.014953308
549,-0.025224656
550,-0.026788618
551,-0.010164745
552,-0.016823983
553,-0.025753465
554,-0.012440742
555,-0.017333703
556,-0.01271255
557,-0.009463984
558,-0.018032061
559,-0.020088812
560,-0.0145123
561,-0.015760237
562,-0.01760095
563,-0.011721275
564,-0.022665987
565,-0.012601931
566,-0.012206734
567,-0.016479516
568,-0.011108766
569,-0.011166862
570,-0.011188093
571,-0.015385509
572,-0.013153994
573,-0.017715447
574,-0.015349268
575,-0.014767292
576,-0.009169132
577,-0.016493274
578,-0.023956776
579,-0.016167743
580,-0.011854699
581,-0.030405499
582,-0.021400854
583,-0.009698638
584,-0.01392232
585,-0.01863794
586,-0.016087258
587,-0.021599846
588,-0.019299068
589,-0.030349175
590,-0.012276737
591,-0.0225117
592,-0.0153338
593,-0.016490044
594,-0.021745734
595,-0.020486562
596,-0.014008773
597,-0.020866139
598,-0.015256046
599,-0.022470962
600,-0.011830311
601,-0.011739991
602,-0.012601336
603,-0.009307521
604,-0.011270708
605,-0.024100114
606,-0.011651284
607,-0.012905486
608,-0.014254865
609,-0.022017056
610,-0.010558299
611,-0.018624792
612,-0.014860098
613,-0.011826735
614,-0.017338414
615,-0.021458652
616,-0.012589524
617,-0.012511464
618,-0.020377949
619,-0.02250779
620,-0.018200075
621,-0.017287698
622,-0.021616165
623,-0.019628309
624,-0.013118502
625,-0.025079999
626,-0.013230792
627,-0.016998159
628,-0.013336656
629,-0.012223273
630,-0.017269321
631,-0.026100446
632,-0.021832645
633,-0.015949622
634,-0.013391091
635,-0.021793023
636,-0.013478952
637,-0.032713637
638,-0.02277033
639,-0.024144588
640,-0.019960815
641,-0.014059156
642,-0.014645155
643,-0.014265982
644,-0.022055069
645,-0.023620857
646,-0.018155633
647,-0.017618982
648,-0.015840076
649,-0.01056764
650,-0.016782369
651,-0.027311234
652,-0.01361955
653,-0.008843354
654,-0.02286581
655,-0.013868542
656,-0.033982147
657,-0.021300273
658,-0.009524817
659,-0.02232532
660,-0.030826412
661,-0.010847981
662,-0.014022039
663,-0.021722665
664,-0.015708096
665,-0.015753323
666,-0.023141425
667,-0.007466224
668,-0.014242337
669,-0.012241462
670,-0.014625568
671,-0.014640705
672,-0.017182948
673,-0.012959158
674,-0.027042776
675,-0.011402306
676,-0.012804268
677,-0.016857198
678,-0.014694496
679,-0.013736264
680,-0.017115982
681,-0.017531209
682,-0.026416134
683,-0.014544532
684,-0.018167088
685,-0.021575127
686,-0.016172042
687,-0.020114074
688,-0.015915085
689,-0.022503342
690,-0.020451102
691,-0.013436926
692,-0.013641936
693,-0.014360412
694,-0.014401506
695,-0.014134285
696,-0.016312836
697,-0.016156277
698,-0.011316729
699,-0.015339129
700,-0.014692987
701,-0.014354677
702,-0.009904328
703,-0.010867922
704,-0.021633251
705,-0.021890704
706,-0.01293628
707,-0.029486207
708,-0.01451836
709,-0.010206305
710,-0.015637053
711,-0.016208177
712,-0.010589721
713,-0.011508077
714,-0.016792821
715,-0.011219119
716,-0.021395979
717,-0.018043758
718,-0.012772458
719,-0.016142119
720,-0.023936413
721,-0.015489507
722,-0.022952463
723,-0.029932013
724,-0.022755589
725,-0.03148501
726,-0.018195378
727,-0.013961605
728,-0.015249167
729,-0.032172251
730,-0.020767178
731,-0.022095639
732,-0.020701276
733,-0.014831076
734,-0.029211896
735,-0.016271485
736,-0.011711905
737,-0.022403352
738,-0.026145581
739,-0.017508479
740,-0.01823096
741,-0.016616154
742,-0.008492617
743,-0.014395699
744,-0.023216713
745,-0.01784499
746,-0.020427961
747,-0.019886697
748,-0.015683794
749,-0.021777878
750,-0.016404312
751,-0.015588041
752,-0.02078262
753,-0.023792569
754,-0.02295932
755,-0.014378817
756,-0.017066892
757,-0.014916824
758,-0.03365995
759,-0.016480085
760,-0.016781306
761,-0.017940497
762,-0.012004461
763,-0.02037742
764,-0.01849471
765,-0.017459542
766,-0.011033553
767,-0.015779305
768,-0.020547578
769,-0.015725134
770,-0.016845006
771,-0.023687325
772,-0.01475051
773,-0.018104643
774,-0.018244857
775,-0.0167119
776,-0.016985951
777,-0.020738505
778,-0.021360397
779,-0.019474419
780,-0.026090214
781,-0.018199917
782,-0.014827716
783,-0.017390657
784,-0.023378965
785,-0.021966161
786,-0.016043913
787,-0.018268637
788,-0.014778305
789,-0.018689258
790,-0.0157253
791,-0.015430002
792,-0.011447945
793,-0.010480889
794,-0.015000061
795,-0.015104297
796,-0.017031256
797,-0.034750413
798,-0.015808636
799,-0.016686622
800,-0.019906098
801,-0.01703578
802,-0.017526429
803,-0.009906843
804,-0.027828271
805,-0.01600734
806,-0.015624219
807,-0.022818239
808,-0.028268691
809,-0.017501837
810,-0.019960715
