,nrp,r,lr,ate,auuc,qini
84,200,0.5,0.0008,0.0056814067,0.27975351956894695,-0.19308975338903336
85,200,0.5,0.001,0.0055722385,0.6342839123021469,0.15940934168552165
86,200,0.6000000000000001,0.0002,0.005658865,0.6031242449820903,0.12919361487939288
87,200,0.6000000000000001,0.0004,0.005643265,0.6176096010928628,0.1430129832371463
88,200,0.6000000000000001,0.0006000000000000001,0.005553459,0.3025925637269361,-0.16984140441011275
89,200,0.6000000000000001,0.0008,0.005666619,0.6051702516953363,0.1308219058199606
90,200,0.6000000000000001,0.001,0.00564097,0.6212166585612076,0.14683599694627522
91,200,0.7000000000000001,0.0002,-0.0031480223,0.56563921163804,0.0946672408539357
92,200,0.7000000000000001,0.0004,0.005658197,0.6328468558528473,0.15879579326962615
93,200,0.7000000000000001,0.0006000000000000001,0.005666318,0.45618566024512613,-0.01836827583669435
94,200,0.7000000000000001,0.0008,0.0056688227,0.3769079955773352,-0.09552791499989911
95,200,0.7000000000000001,0.001,0.005616523,0.6248382324097647,0.15050353688772472
96,200,0.8,0.0002,-0.0028477244,0.5472158579922625,0.07564049048515371
97,200,0.8,0.0004,0.0056363796,0.6103911428500041,0.13626540916865923
98,200,0.8,0.0006000000000000001,0.0056797727,0.6308706386768298,0.15601148767503742
99,200,0.8,0.0008,0.0056730257,0.6292606018023992,0.15453569532574313
100,200,0.8,0.001,0.005684855,0.6044142964004612,0.12929159335987606
101,210,0.4,0.0002,0.005656804,0.6542741062740591,0.17957917595643022
102,210,0.4,0.0004,0.0056316783,0.6705201746653693,0.19570873743914677
103,210,0.4,0.0006000000000000001,0.005646104,0.5676726991263636,0.09363867905627743
104,210,0.4,0.0008,0.00565808,0.625964699311376,0.1517298965486962
105,210,0.4,0.001,0.0056635756,0.6384718007708966,0.16413712336880887
106,210,0.5,0.0002,-0.004498071,0.53268296528432,0.0603949151423956
107,210,0.5,0.0004,0.005633889,0.6124919813200113,0.1384065902526716
108,210,0.5,0.0006000000000000001,0.0056779236,0.567402847308114,0.09350312927074926
109,210,0.5,0.0008,0.0055405237,0.5777240530498248,0.10367588493816708
110,210,0.5,0.001,0.005590862,0.6401274276518811,0.16524390931751337
111,210,0.6000000000000001,0.0002,0.005674003,0.6596085081452497,0.18443388907816077
112,210,0.6000000000000001,0.0004,0.0056135356,0.5839302903185544,0.11003251342368779
113,210,0.6000000000000001,0.0006000000000000001,0.005672828,0.6203980482871799,0.14591280426262201
114,210,0.6000000000000001,0.0008,0.005666024,0.5715479263143144,0.09805468221550379
115,210,0.6000000000000001,0.001,0.0056641335,0.4926703918620409,0.02091790500180059
116,210,0.7000000000000001,0.0002,0.0055721174,0.6154933236528951,0.14250335567189165
117,210,0.7000000000000001,0.0004,0.005595716,0.6279397686033017,0.15392499571746102
118,210,0.7000000000000001,0.0006000000000000001,0.0056772185,0.5129249470441255,0.040282545504741106
119,210,0.7000000000000001,0.0008,0.0056221606,0.4667192582877431,-0.0037722682566356793
120,210,0.7000000000000001,0.001,0.005616445,0.6864246468232547,0.21048663931282932
121,210,0.8,0.0002,0.0056007872,0.6318398071138022,0.15618200560330747
122,210,0.8,0.0004,0.0056368057,0.589674568697012,0.11538302044775894
123,210,0.8,0.0006000000000000001,0.005589546,0.6411055755199608,0.16629361326259165
124,210,0.8,0.0008,0.0055966843,0.632257364523303,0.1577568554158138
125,210,0.8,0.001,0.0056592347,0.6145498913962343,0.14034468393508973
126,220,0.4,0.0002,-0.0051741875,0.5550076707724725,0.08400403710522679
127,220,0.4,0.0004,0.0056182374,0.6089084865460548,0.13446905940580273
128,220,0.4,0.0006000000000000001,0.0056831036,0.5979528500496261,0.12357751145186555
129,220,0.4,0.0008,0.0056197364,0.6324513905748534,0.15868461820133478
130,220,0.4,0.001,0.005671233,0.6319585308321343,0.15770196112152787
131,220,0.5,0.0002,-0.0037383062,0.5785602243994689,0.1073129434548108
132,220,0.5,0.0004,0.005602984,0.6120405255255323,0.13785027162025199
133,220,0.5,0.0006000000000000001,0.0056233327,0.34909514517291074,-0.12331012748977013
134,220,0.5,0.0008,0.005683148,0.3397534658667157,-0.13268917311997971
135,220,0.5,0.001,0.005668227,0.5926758330086118,0.11797088000775556
136,220,0.6000000000000001,0.0002,-0.0015462032,0.5360954680148855,0.0645776084646189
137,220,0.6000000000000001,0.0004,0.0056199026,0.6027354621588236,0.1286749078224356
138,220,0.6000000000000001,0.0006000000000000001,0.005619941,0.6292210306103512,0.15450512285531032
139,220,0.6000000000000001,0.0008,0.005660323,0.5477780637455911,0.07477504789426716
140,220,0.6000000000000001,0.001,0.0056696283,0.6247255207534154,0.1526698851461437
141,220,0.7000000000000001,0.0002,0.0056376015,0.6759136471326432,0.20112775509540415
142,220,0.7000000000000001,0.0004,0.0056923535,0.6206399362383154,0.14605843732309925
143,220,0.7000000000000001,0.0006000000000000001,0.00566126,0.6574251146727759,0.18225673704648607
144,220,0.7000000000000001,0.0008,0.0056842985,0.6123278465110922,0.1378937069374022
145,220,0.7000000000000001,0.001,0.005674369,0.6438575326415603,0.16906853762873325
146,220,0.8,0.0002,0.0055880668,0.6597977390410071,0.18474579176013414
147,220,0.8,0.0004,0.0051462776,0.6830544739132443,0.207836940909951
148,220,0.8,0.0006000000000000001,0.0056653167,0.37662415256553416,-0.09583808454923104
149,220,0.8,0.0008,0.0056775603,0.6116744537382208,0.13767683828864508
150,220,0.8,0.001,0.005557786,0.6781636196514356,0.20280386006218903
